time,code,class,duration
170.848,Single antennal touch,2,
175.045,Random bump,1 ,
185.568,Random bump,1,
566.995,Single antennal touch,2,
576.728,Single antennal touch,2b,
588.487,Random bump,1,
597.454,Single antennal touch,2,
606.682,Random bump,1,
620.237,Single antennal touch,2,
630.733,Random bump,1,
638.671,Random bump,1,
646.494,Random bump,1,
673.733,Avoidance,5,
689.851,Single antennal touch,2,
694.467,Single antennal touch,2,
710.078,Random bump,1,
723.895,Random bump,1,
726.452,Single antennal touch,2,
1839.608,END,0,
