Treatment;Antibiotic;Reinoculation;Year;Arena;Mean_dist
low_yes;low;yes;2024;1;4,46065733684132
low_no;low;no;2024;2;4,79662739160546
high_no;high;no;2024;3;5,58357985021420
high_yes;high;yes;2024;4;4,20001125072264
zero_no;zero;no;2024;5;4,63554727033609
low_yes;low;yes;2024;6;6,49442347760511
high_no;high;no;2024;7;4,08896201981111
zero_no;zero;no;2024;8;5,42500001093186
high_no;high;no;2024;10;2,42436863777257
high_yes;high;yes;2024;11;4,78421048366251
low_yes;low;yes;2024;12;5,55292826013471
zero_no;zero;no;2024;13;2,57062465394578
low_no;low;no;2024;14;4,89280299649992
low_no;low;no;2024;15;4,53372216272405
low_no;low;no;2025;16;6,88172431669205
high_yes;high;yes;2025;17;5,62212043671991
high_no;high;no;2025;18;5,16919663650104
high_yes;high;yes;2025;19;3,04439740548075
low_yes;low;yes;2025;20;1,37080481338695
low_yes;low;yes;2025;21;1,77793084867463
low_yes;low;yes;2025;22;4,06116277121062
low_yes;low;yes;2025;23;4,83868594767846
low_no;low;no;2025;24;7,33478802735851
low_no;low;no;2025;25;3,58664285143970
low_no;low;no;2025;26;4,67783146535513
low_no;low;no;2025;27;3,99025490725705
high_no;high;no;2025;28;1,61899725748215
high_no;high;no;2025;29;3,78051500306150
high_no;high;no;2025;30;2,72756706790139
high_no;high;no;2025;31;3,56371489668588
zero_yes;zero;yes;2025;36;5,13456081131049
zero_yes;zero;yes;2025;37;4,99566373927246
zero_yes;zero;yes;2025;38;4,31580920809323
zero_yes;zero;yes;2025;39;3,94846065823861
zero_no;zero;no;2025;40;2,81771130224849
zero_no;zero;no;2025;41;4,99030359700594
zero_no;zero;no;2025;42;4,75402351598793
zero_no;zero;no;2025;43;3,59185805644360
high_yes;high;yes;2025;32;4,46902324141080
high_yes;high;yes;2025;33;5,80922264528421
low_yes;low;yes;2025;34;2,69561475493608
zero_yes;zero;yes;2025;35;5,43505686243000
