"ASV","group1","group2","p_bonf","p_fdr","sig_fdr","sig_symbol"
"ASV113","AntHigh+hom","AntHigh",0.0389252322433009,0.194626161216505,FALSE,"ns"
"ASV113","AntLow","AntHigh",0.612211565751725,1,FALSE,"ns"
"ASV113","AntLow+hom","AntHigh",0.612211565751725,1,FALSE,"ns"
"ASV113","Ctr","AntHigh",1,1,FALSE,"ns"
"ASV113","AntLow","AntHigh+hom",0.017928722193441,0.122670204481438,FALSE,"ns"
"ASV113","AntLow+hom","AntHigh+hom",0.017928722193441,0.122670204481438,FALSE,"ns"
"ASV113","Ctr","AntHigh+hom",0.0389252322433009,0.194626161216505,FALSE,"ns"
"ASV113","AntLow+hom","AntLow",1,1,FALSE,"ns"
"ASV113","Ctr","AntLow",0.612211565751725,1,FALSE,"ns"
"ASV113","Ctr","AntLow+hom",0.612211565751725,1,FALSE,"ns"
"ASV123","AntHigh+hom","AntHigh",0.0593308600535414,0.248806832482593,FALSE,"ns"
"ASV123","AntLow","AntHigh",0.551163724416833,1,FALSE,"ns"
"ASV123","AntLow+hom","AntHigh",1,1,FALSE,"ns"
"ASV123","Ctr","AntHigh",1,1,FALSE,"ns"
"ASV123","AntLow","AntHigh+hom",0.208596963846739,0.484242951787072,FALSE,"ns"
"ASV123","AntLow+hom","AntHigh+hom",0.0593308600535414,0.248806832482593,FALSE,"ns"
"ASV123","Ctr","AntHigh+hom",0.0593308600535414,0.248806832482593,FALSE,"ns"
"ASV123","AntLow+hom","AntLow",0.551163724416833,1,FALSE,"ns"
"ASV123","Ctr","AntLow",0.551163724416833,1,FALSE,"ns"
"ASV123","Ctr","AntLow+hom",1,1,FALSE,"ns"
"ASV14","AntHigh+hom","AntHigh",3.30974875669317e-05,0.00109054945795428,TRUE,"**"
"ASV14","AntLow","AntHigh",0.737442388932028,1,FALSE,"ns"
"ASV14","AntLow+hom","AntHigh",3.90145408990517e-05,0.00109054945795428,TRUE,"**"
"ASV14","Ctr","AntHigh",0.737442388932028,1,FALSE,"ns"
"ASV14","AntLow","AntHigh+hom",4.19442099213185e-05,0.00109054945795428,TRUE,"**"
"ASV14","AntLow+hom","AntHigh+hom",0.737442388932028,1,FALSE,"ns"
"ASV14","Ctr","AntHigh+hom",7.29568668589309e-06,0.000474219634583051,TRUE,"***"
"ASV14","AntLow+hom","AntLow",5.63177504697698e-05,0.00122021792684501,TRUE,"**"
