"ASV","group1","group2","p_bonf","p_fdr","sig_fdr","sig_symbol"
"ASV14","AntHigh+hom","AntHigh",3.30974875669317e-05,0.00109054945795428,TRUE,"**"
"ASV14","AntLow+hom","AntHigh",3.90145408990517e-05,0.00109054945795428,TRUE,"**"
"ASV14","AntLow","AntHigh+hom",4.19442099213185e-05,0.00109054945795428,TRUE,"**"
"ASV14","Ctr","AntHigh+hom",7.29568668589309e-06,0.000474219634583051,TRUE,"***"
"ASV14","AntLow+hom","AntLow",5.63177504697698e-05,0.00122021792684501,TRUE,"**"
"ASV14","Ctr","AntLow+hom",7.29568668589309e-06,0.000474219634583051,TRUE,"***"
"ASV32","AntHigh+hom","AntHigh",0.00131610627651657,0.0142578179955962,TRUE,"*"
"ASV32","AntLow+hom","AntHigh",0.000817231677168924,0.0109865481567861,TRUE,"*"
"ASV32","AntLow","AntHigh+hom",0.00121880879743053,0.0142578179955962,TRUE,"*"
"ASV32","Ctr","AntHigh+hom",0.000845119088983548,0.0109865481567861,TRUE,"*"
"ASV32","AntLow+hom","AntLow",0.000817231677168924,0.0109865481567861,TRUE,"*"
"ASV32","Ctr","AntLow+hom",0.000817231677168924,0.0109865481567861,TRUE,"*"
