"ASV1"	"ASV2"	"ASV3"	"ASV4"	"ASV5"	"ASV6"	"ASV7"	"ASV8"	"ASV9"	"ASV10"	"ASV11"	"ASV12"	"ASV13"	"ASV14"	"ASV15"	"ASV16"	"ASV17"	"ASV18"	"ASV20"	"ASV21"	"ASV22"	"ASV23"	"ASV24"	"ASV25"	"ASV26"	"ASV27"	"ASV28"	"ASV29"	"ASV30"	"ASV31"	"ASV32"	"ASV35"	"ASV37"	"ASV38"	"ASV39"	"ASV40"	"ASV41"	"ASV42"	"ASV44"	"ASV45"	"ASV46"	"ASV47"	"ASV48"	"ASV49"	"ASV51"	"ASV52"	"ASV53"	"ASV54"	"ASV55"	"ASV57"	"ASV59"	"ASV60"	"ASV61"	"ASV63"	"ASV65"	"ASV66"	"ASV67"	"ASV69"	"ASV72"	"ASV75"	"ASV77"	"ASV79"	"ASV85"	"ASV86"	"ASV87"	"ASV88"	"ASV93"	"ASV96"	"ASV97"	"ASV99"	"ASV100"	"ASV101"	"ASV102"	"ASV103"	"ASV106"	"ASV109"	"ASV110"	"ASV111"	"ASV112"	"ASV113"	"ASV114"	"ASV117"	"ASV118"	"ASV119"	"ASV120"	"ASV121"	"ASV123"	"ASV125"	"ASV126"	"ASV127"	"ASV128"	"ASV131"	"ASV132"	"ASV134"	"ASV135"	"ASV136"	"ASV137"	"ASV138"	"ASV139"	"ASV140"	"ASV142"	"ASV143"	"ASV144"	"ASV145"	"ASV147"	"ASV148"	"ASV149"	"ASV151"	"ASV152"	"ASV153"	"ASV154"	"ASV155"	"ASV156"	"ASV157"	"ASV158"	"ASV159"	"ASV160"	"ASV161"	"ASV162"	"ASV163"	"ASV164"	"ASV165"	"ASV166"	"ASV167"	"ASV168"	"ASV170"	"ASV172"	"ASV173"	"ASV174"	"ASV175"	"ASV176"	"ASV180"	"ASV181"	"ASV182"	"ASV183"	"ASV184"	"ASV185"	"ASV186"	"ASV187"	"ASV188"	"ASV189"	"ASV190"	"ASV198"	"ASV199"	"ASV200"	"ASV201"	"ASV202"	"ASV203"	"ASV204"	"ASV205"	"ASV206"	"ASV207"	"ASV208"	"ASV209"	"ASV210"	"ASV211"	"ASV212"	"ASV215"	"ASV216"	"ASV217"	"ASV218"	"ASV219"	"ASV220"	"ASV221"	"ASV222"	"ASV223"	"ASV224"	"ASV225"	"ASV226"	"ASV227"	"ASV228"	"ASV229"	"ASV230"	"ASV231"
"L1"	24625	3522	0	0	0	0	622	0	0	0	0	0	0	5	0	0	0	0	0	47	115	8	0	0	211	0	0	0	0	0	0	0	0	0	0	4	0	0	433	0	0	0	0	0	0	0	21	0	0	9	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L10"	7964	2372	9685	51	0	13932	459	0	0	0	0	0	0	0	0	0	0	0	1114	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	47	0	0	0	0	0	31	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L11"	19144	7234	6731	74	263	0	2686	0	0	0	0	0	0	372	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	62	0	0	73	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L12"	14366	417	739	71	9119	0	0	0	0	9831	0	0	0	0	0	0	0	0	0	3	46	4	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	120	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L13"	9427	8633	0	14	18	0	1376	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	652	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	425	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L14"	4002	15955	0	0	0	0	775	0	0	0	0	0	0	335	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	59	899	0	0	21	0	0	201	75	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L15"	43455	65	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	21	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L16"	16877	2865	2	0	0	0	309	0	0	0	2135	0	0	619	2174	0	0	0	0	6	55	4	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L17"	26830	1769	0	0	53	52	106	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	41	0	0	0	0	0	0	0	27	0	121	0	0	0	0	22	0	0	0	0	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L18"	22224	3292	10	193	8	0	199	0	0	0	0	0	0	940	0	0	0	0	0	6	83	24	0	0	0	256	0	24	0	0	152	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
