"L1"	"L10"	"L11"	"L12"	"L13"	"L14"	"L15"	"L16"	"L17"	"L18"	"L19"	"L2"	"L20"	"L21"	"L22"	"L23"	"L24"	"L25"	"L26"	"L27"	"L28"	"L29"	"L3"	"L30"	"L31"	"L32"	"L33"	"L34"	"L35"	"L36"	"L37"	"L38"	"L39"	"L4"	"L40"	"L41"	"L42"	"L5"	"L6"	"L7"	"L8"	"L9"
"ASV1"	230811.061069472	7456488.45726436	2903366.78375806	4277617.82930618	990267.821148066	3358774.03905447	59456.8560312172	1077979.3715558	288419.50300739	675388.695139268	133021.143243243	292281.547960194	2739371.56820741	1466483.89086112	196124.961896867	2638960.15058851	715900.215548011	4773084.28874167	85325.6652908551	12805782.2068583	3670474.92653146	443011.011804864	481521.347761984	265732.520884521	900177.416475116	496982.571528409	356239.304654627	537674.98308491	1203264.89571394	3731316.68345663	63090.0869171278	3028229.06644601	2958065.17431193	49837.5043539369	62518.6223141014	580890.461114783	107782.49474816	833426.841696261	139901.541199055	960369.47934393	673289.641862698	401562.859691925
"ASV2"	33011.8398816926	2220842.61936603	1097103.80869754	124165.852347256	906861.366285271	13390614.640958	88.9355803021314	182995.253866645	19016.5523973191	100044.077771709	130.776152623211	39048.4567290158	1546284.18384182	1496.14272007676	2995.45469357421	3022211.62474036	11571.1691477322	166196.565467863	1082.85770024507	0	1616936.90811258	22734.2183188736	84129.8760396189	20294.9562653563	491810.678890255	50396.4675379132	40911.1581423307	22345.9622508792	462513.694153152	1869249.18463718	10.8138368443193	1993625.95022755	411634.370642202	185.787527880473	447.01772849715	18434.575677462	2297.48672566372	261879.081721329	3573.7925280567	8014.02711901227	103799.400970822	120.235600841944
"ASV3"	0	9067816.51288364	1020819.1507248	220044.520107007	0	0	16.4188763634704	127.745377917379	0	303.900600764609	0	0	346823.82778578	763472.829215639	0	64899.0301177014	0	4535950.1648424	0	0	2553465.63948675	576.461954202816	0	812.163267813268	0	196573.077643441	0	108669.443342824	0	719030.384070518	0	1396510.35966074	1456461.00550459	4.64468819701182	0	26680.2405816259	0	42056.8217672864	0	5123.72225641768	0	72021.1249043245
"ASV4"	0	47749.9888649526	11222.7926242215	21140.9484811874	1470.64278095607	0	0	0	0	5865.28159475696	2484.74689984102	0	1355933.58203483	313749.929239626	34.3646809970272	36589.1651280868	34140.6772873683	31753.002345486	0	100200731.161205	5980.83712748344	32155.7683828758	566.690155753818	0	715.771957021436	1521.74058284995	0	0	325.576301670528	139324.704863844	0	920135.053951179	0	0	0	3238.74311522362	15.3370275411463	691.886609567579	0	0	0	0
"ASV5"	0	0	39886.4116239223	2715271.96056265	1890.82643265781	0	0	0	569.744079738787	243.120480611688	256.103298887122	0	0	0	0	7745.15174244173	0	0	2899.35882884045	0	0	0	0	36.5017199017199	1883.6104132143	1370730.20854008	80.3530042077202	0	193848.130014632	0	0	0	1424979.58899083	51.0915701671301	0	0	0	0	0	135581.573554437	0	0
"ASV6"	0	13044173.4287553	0	0	0	0	0	0	558.994191441829	0	0	0	4360.45431452141	13641.3012712881	0	4807.33556427417	297.87168103073	470890.268825611	0	0	16535.2555877483	0	1534.78583849992	255.512039312039	0	209552.629673632	0	1345.50658181209	0	1969792.78608531	0	0	76030.5908256881	60.3809465611537	0	0	0	0	0	3153.05985010319	0	0
"ASV7"	5830.0296440695	429749.899784573	407357.040387283	0	144543.176185397	650437.251441083	0	19736.6608882351	1139.48815947757	6047.62195521573	0	10294.7559005888	381875.172083279	0	0	642580.520424648	1260.22634282232	0	0	0	73177.3013245033	1801.4436068838	44178.2200589748	8431.8972972973	0	29002.5852260815	3914.33920497609	0	44148.1465065236	538339.168896584	0	154610.286843194	0	0	165.636033327069	2380.9138576779	319.010172855843	0	1021.08357944477	0	3696.3280524884	0
"ASV8"	0	0	0	0	0	0	0	0	0	0	0	0	335.419562655493	0	0	15757.3776828987	0	0	0	0	0	0	0	0	1808.26599668573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040949.36547304	0	0
"ASV10"	0	0	0	2927276.96505005	0	0	0	0	0	0	0	0	0	0	0	0	91.6528249325324	0	396.167451309171	0	0	0	0	0	0	38491.0853309106	0	0	202768.920680405	0	0	0	80782.5027522936	0	0	0	0	0	65.4540756054341	26012.7437633513	0	0
"ASV11"	0	0	0	0	0	0	0	136368.190926802	0	0	0	0	0	0	0	237161.887837526	0	0	0	0	244862.508278146	0	0	0	0	0	15026.0117868437	0	0	0	1706.42345403359	0	0	0	0	0	0	0	15800.6138511518	0	42728.6223929162	0
"ASV12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4964953.49440375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1478438.59816514	0	0	0	0	0	0	0	0	0
"ASV13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755.586874338424	0	0	0	0	580.414603918942	0	0	0	0	60586.8770642202	0	0	0	0	0	0	0	0	0
"ASV14"	46.8651900648674	0	56417.281840681	0	0	281156.747397113	0	39537.1944654288	0	28566.6564718733	0	0	5366.71300248789	0	0	0	19361.6592669975	0	29.3457371340126	0	0	2810.25202673873	0	0	0	0	3007.49815748896	0	0	113757.903352747	0	0	0	0	0	1365.52412425644	0	0	1525.07996160662	0	0	0
"ASV15"	0	0	0	0	0	0	0	138859.225796191	0	0	0	0	0	0	0	217665.471382414	0	0	0	0	224105.485306291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14046.4446249262	0	0	0
"ASV16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113814.027332105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15496.6508114889	0	0	0	1686.95854771381	0	0	0	0	0	0	0	0	0	45099.8517096069	0
"ASV18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415152.880263587	0	0
"ASV20"	0	1043009.5606972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
