petridish number;category;antibiotic;reinoculate;year;nb of bump;nb of avoidance;nb of head-to-head;nb of touch;nb of antennal interaction
5;control;zero;No;2024;7;0;3;5;8
8;control;zero;No;2024;16;7;2;26;28
13;control;zero;No;2024;10;0;1;8;9
40;control;zero;No;2025;0;0;0;0;0
41;control;zero;No;2025;5;3;2;17;19
42;control;zero;No;2025;15;3;2;18;20
43;control;zero;No;2025;6;0;0;6;6
2;low_ant;low;No;2024;26;0;1;30;31
14;low_ant;low;No;2024;19;2;2;31;33
15;low_ant;low;No;2024;11;2;1;14;15
16;low_ant;low;No;2025;5;0;2;12;14
24;low_ant;low;No;2025;3;0;0;4;4
25;low_ant;low;No;2025;8;0;10;12;22
26;low_ant;low;No;2025;26;1;7;33;40
27;low_ant;low;No;2025;1;3;1;8;9
3;high_ant;high;No;2024;5;0;3;10;13
7;high_ant;high;No;2024;11;0;3;12;15
10;high_ant;high;No;2024;3;2;9;15;24
18;high_ant;high;No;2025;18;1;1;17;18
28;high_ant;high;No;2025;1;0;0;2;2
29;high_ant;high;No;2025;9;4;6;13;19
30;high_ant;high;No;2025;4;0;0;5;5
31;high_ant;high;No;2025;6;0;1;6;7
1;low_gut;low;Yes;2024;24;0;0;20;20
6;low_gut;low;Yes;2024;1;0;0;0;0
12;low_gut;low;Yes;2024;17;4;2;25;27
20;low_gut;low;Yes;2025;0;0;0;13;13
21;low_gut;low;Yes;2025;7;0;0;8;8
22;low_gut;low;Yes;2025;14;3;0;25;25
23;low_gut;low;Yes;2025;13;1;2;9;11
4;high_gut;high;Yes;2024;23;4;6;16;22
11;high_gut;high;Yes;2024;15;3;0;15;15
17;high_gut;high;Yes;2025;13;4;6;31;37
19;high_gut;high;Yes;2025;9;0;3;10;13
32;high_gut;high;Yes;2025;14;2;2;10;12
33;high_gut;high;Yes;2025;5;4;1;18;19
35;gut_ctrl;zero;Yes;2025;9;1;3;12;15
37;gut_ctrl;zero;Yes;2025;13;1;2;15;17
38;gut_ctrl;zero;Yes;2025;5;0;1;4;5
39;gut_ctrl;zero;Yes;2025;1;0;1;2;3
36;gut_ctrl;zero;Yes;2025;0;0;0;0;0
34;low_gut;low;Yes;2025;0;0;0;0;0
