;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;UV;Std;L32;23.87;1000000.00000
;A02;SYBR;UV;Std;L32;23.31;1000000.00000
;A03;SYBR;UV;Std;L32;23.67;1000000.00000
;A04;SYBR;UV;Std;L33;25.60;1000000.00000
;A05;SYBR;UV;Std;L33;25.97;1000000.00000
;A06;SYBR;UV;Std;L33;26.23;1000000.00000
;A07;SYBR;UV;Std;L34;25.22;1000000.00000
;A08;SYBR;UV;Std;L34;25.13;1000000.00000
;A09;SYBR;UV;Std;L34;25.03;1000000.00000
;A10;SYBR;UV;Std;L35;23.84;1000000.00000
;A11;SYBR;UV;Std;L35;23.67;1000000.00000
;A12;SYBR;UV;Std;L35;23.72;1000000.00000
;B01;SYBR;UV;Std;L36;21.38;1000000.00000
;B02;SYBR;UV;Std;L36;21.72;1000000.00000
;B03;SYBR;UV;Std;L36;22.09;1000000.00000
;B04;SYBR;UV;Std;L37;28.28;1000000.00000
;B05;SYBR;UV;Std;L37;28.34;1000000.00000
;B06;SYBR;UV;Std;L37;29.01;1000000.00000
;B07;SYBR;UV;Std;L38;22.05;1000000.00000
;B08;SYBR;UV;Std;L38;21.76;1000000.00000
;B09;SYBR;UV;Std;L38;22.15;1000000.00000
;B10;SYBR;UV;Std;L39;21.95;1000000.00000
;B11;SYBR;UV;Std;L39;21.88;1000000.00000
;B12;SYBR;UV;Std;L39;21.85;1000000.00000
;C01;SYBR;UV;Std;L40;28.73;1000000.00000
;C02;SYBR;UV;Std;L40;28.52;1000000.00000
;C03;SYBR;UV;Std;L40;28.59;1000000.00000
;C04;SYBR;UV;Std;L41;25.34;1000000.00000
;C05;SYBR;UV;Std;L41;25.46;1000000.00000
;C06;SYBR;UV;Std;L41;25.46;1000000.00000
;C07;SYBR;UV;Std;L42;28.04;1000000.00000
;C08;SYBR;UV;Std;L42;27.51;1000000.00000
;C09;SYBR;UV;Std;L42;27.96;1000000.00000
;C10;SYBR;UV;Std;L43;27.03;1000000.00000
;C11;SYBR;UV;Std;L43;26.66;1000000.00000
;C12;SYBR;UV;Std;L43;26.62;1000000.00000
;D01;SYBR;UV;Std;L44;25.18;1000000.00000
;D02;SYBR;UV;Std;L44;25.12;1000000.00000
;D03;SYBR;UV;Std;L44;25.08;1000000.00000
;D04;SYBR;UV;Std;L45;22.84;1000000.00000
;D05;SYBR;UV;Std;L45;22.84;1000000.00000
;D06;SYBR;UV;Std;L45;22.89;1000000.00000
;D07;SYBR;UV;Std;L46;31.23;1000000.00000
;D08;SYBR;UV;Std;L46;32.17;1000000.00000
;D09;SYBR;UV;Std;L46;32.30;1000000.00000
;D10;SYBR;UV;Std;L47;17.50;1000000.00000
;D11;SYBR;UV;Std;L47;17.69;1000000.00000
;D12;SYBR;UV;Std;L47;17.44;1000000.00000
;E01;SYBR;UV;Std;L48;30.64;1000000.00000
;E02;SYBR;UV;Std;L48;31.12;1000000.00000
;E03;SYBR;UV;Std;L48;30.44;1000000.00000
;E04;SYBR;UV;Std;L49;22.69;1000000.00000
;E05;SYBR;UV;Std;L49;22.79;1000000.00000
;E06;SYBR;UV;Std;L49;22.43;1000000.00000
;E07;SYBR;UV;Std;B1;28.14;1000000.00000
;E08;SYBR;UV;Std;B1;28.16;1000000.00000
;E09;SYBR;UV;Std;B1;28.27;1000000.00000
;E10;SYBR;UV;Std;B2;28.28;1000000.00000
;E11;SYBR;UV;Std;B2;28.62;1000000.00000
;E12;SYBR;UV;Std;B2;28.87;1000000.00000
;F01;SYBR;UV;Std;B3;27.68;1000000.00000
;F02;SYBR;UV;Std;B3;28.92;1000000.00000
;F03;SYBR;UV;Std;B3;27.06;1000000.00000
;F04;SYBR;UV;Std;B4;28.86;1000000.00000
;F05;SYBR;UV;Std;B4;28.56;1000000.00000
;F06;SYBR;UV;Std;B4;28.60;1000000.00000
;F07;SYBR;UV;Neg Ctrl;WATER;29.63;
;F08;SYBR;UV;Neg Ctrl;WATER;31.00;
;F09;SYBR;UV;Neg Ctrl;WATER;31.00;
