;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;UV;Std;L1;27.23;1000000.00000
;A02;SYBR;UV;Std;L1;26.83;1000000.00000
;A03;SYBR;UV;Std;L1;26.30;1000000.00000
;A04;SYBR;UV;Std;L2;26.45;1000000.00000
;A05;SYBR;UV;Std;L2;26.27;1000000.00000
;A06;SYBR;UV;Std;L2;26.11;1000000.00000
;A07;SYBR;UV;Std;L3;25.58;1000000.00000
;A08;SYBR;UV;Std;L3;25.44;1000000.00000
;A09;SYBR;UV;Std;L3;25.32;1000000.00000
;A10;SYBR;UV;Std;L4;28.75;1000000.00000
;A11;SYBR;UV;Std;L4;29.08;1000000.00000
;A12;SYBR;UV;Std;L4;28.95;1000000.00000
;B01;SYBR;UV;Std;L5;24.62;1000000.00000
;B02;SYBR;UV;Std;L5;24.54;1000000.00000
;B03;SYBR;UV;Std;L5;24.52;1000000.00000
;B04;SYBR;UV;Std;L6;27.57;1000000.00000
;B05;SYBR;UV;Std;L6;26.84;1000000.00000
;B06;SYBR;UV;Std;L6;27.17;1000000.00000
;B07;SYBR;UV;Std;L7;23.09;1000000.00000
;B08;SYBR;UV;Std;L7;22.90;1000000.00000
;B09;SYBR;UV;Std;L7;23.04;1000000.00000
;B10;SYBR;UV;Std;L8;24.94;1000000.00000
;B11;SYBR;UV;Std;L8;24.89;1000000.00000
;B12;SYBR;UV;Std;L8;25.13;1000000.00000
;C01;SYBR;UV;Std;L9;25.76;1000000.00000
;C02;SYBR;UV;Std;L9;25.75;1000000.00000
;C03;SYBR;UV;Std;L9;25.73;1000000.00000
;C04;SYBR;UV;Std;L10;19.90;1000000.00000
;C05;SYBR;UV;Std;L10;19.90;1000000.00000
;C06;SYBR;UV;Std;L10;19.98;1000000.00000
;C07;SYBR;UV;Std;L11;22.51;1000000.00000
;C08;SYBR;UV;Std;L11;22.17;1000000.00000
;C09;SYBR;UV;Std;L11;22.55;1000000.00000
;C10;SYBR;UV;Std;L12;21.51;1000000.00000
;C11;SYBR;UV;Std;L12;21.58;1000000.00000
;C12;SYBR;UV;Std;L12;21.57;1000000.00000
;D01;SYBR;UV;Std;L13;24.09;1000000.00000
;D02;SYBR;UV;Std;L13;23.53;1000000.00000
;D03;SYBR;UV;Std;L13;23.54;1000000.00000
;D04;SYBR;UV;Std;L14;20.85;1000000.00000
;D05;SYBR;UV;Std;L14;20.67;1000000.00000
;D06;SYBR;UV;Std;L14;20.66;1000000.00000
;D07;SYBR;UV;Std;L15;28.65;1000000.00000
;D08;SYBR;UV;Std;L15;28.65;1000000.00000
;D09;SYBR;UV;Std;L15;28.79;1000000.00000
;D10;SYBR;UV;Std;L16;24.12;1000000.00000
;D11;SYBR;UV;Std;L16;24.13;1000000.00000
;D12;SYBR;UV;Std;L16;24.16;1000000.00000
;E01;SYBR;UV;Std;L17;26.49;1000000.00000
;E02;SYBR;UV;Std;L17;26.43;1000000.00000
;E03;SYBR;UV;Std;L17;26.29;1000000.00000
;E04;SYBR;UV;Std;L18;25.07;1000000.00000
;E05;SYBR;UV;Std;L18;25.05;1000000.00000
;E06;SYBR;UV;Std;L18;25.01;1000000.00000
;E07;SYBR;UV;Std;L19;27.20;1000000.00000
;E08;SYBR;UV;Std;L19;27.88;1000000.00000
;E09;SYBR;UV;Std;L19;27.56;1000000.00000
;E10;SYBR;UV;Std;L20;22.06;1000000.00000
;E11;SYBR;UV;Std;L20;22.20;1000000.00000
;E12;SYBR;UV;Std;L20;22.40;1000000.00000
;F01;SYBR;UV;Std;L21;23.61;1000000.00000
;F02;SYBR;UV;Std;L21;23.51;1000000.00000
;F03;SYBR;UV;Std;L21;23.34;1000000.00000
;F04;SYBR;UV;Std;L22;27.04;1000000.00000
;F05;SYBR;UV;Std;L22;27.07;1000000.00000
;F06;SYBR;UV;Std;L22;26.95;1000000.00000
;F07;SYBR;UV;Std;L23;22.08;1000000.00000
;F08;SYBR;UV;Std;L23;22.09;1000000.00000
;F09;SYBR;UV;Std;L23;22.15;1000000.00000
;F10;SYBR;UV;Std;L24;24.75;1000000.00000
;F11;SYBR;UV;Std;L24;24.99;1000000.00000
;F12;SYBR;UV;Std;L24;25.62;1000000.00000
;G01;SYBR;UV;Std;L25;20.98;1000000.00000
;G02;SYBR;UV;Std;L25;20.92;1000000.00000
;G03;SYBR;UV;Std;L25;20.84;1000000.00000
;G04;SYBR;UV;Std;L26;28.05;1000000.00000
;G05;SYBR;UV;Std;L26;28.16;1000000.00000
;G06;SYBR;UV;Std;L26;28.14;1000000.00000
;G07;SYBR;UV;Std;L27;18.16;1000000.00000
;G08;SYBR;UV;Std;L27;18.18;1000000.00000
;G09;SYBR;UV;Std;L27;18.36;1000000.00000
;G10;SYBR;UV;Std;L28;21.75;1000000.00000
;G11;SYBR;UV;Std;L28;21.77;1000000.00000
;G12;SYBR;UV;Std;L28;21.96;1000000.00000
;H01;SYBR;UV;Std;L29;26.01;1000000.00000
;H02;SYBR;UV;Std;L29;25.77;1000000.00000
;H03;SYBR;UV;Std;L29;25.42;1000000.00000
;H04;SYBR;UV;Std;L30;26.68;1000000.00000
;H05;SYBR;UV;Std;L30;26.36;1000000.00000
;H06;SYBR;UV;Std;L30;26.39;1000000.00000
;H07;SYBR;UV;Std;L31;24.44;1000000.00000
;H08;SYBR;UV;Std;L31;24.22;1000000.00000
;H09;SYBR;UV;Std;L31;24.29;1000000.00000
;H10;SYBR;UV;Neg Ctrl;WATER;28.73;
;H11;SYBR;UV;Neg Ctrl;WATER;29.01;
;H12;SYBR;UV;Neg Ctrl;WATER;29.20;
