Category ;Petridish number;Start;Check 1;Check 2;Check 3;Check 4;Check 5;Check 6;Check 7;Check 8;Check 9;Check 10;Check 11;Check12;Video;End
;;15.05.24 13:00;15.05.24 17:00;16.05.24 09:30;16.05.24 12:30;16.05.24 15:30;16.05.24 17:30;17.05.24 09:30;17.05.24 12:30;17.05.24 15:30;17.05.24 17:30;18.05.24 10:00;18.05.24 13:00;20.05.24 08:30;20/05/2024  10:00:-11:00;20.05.24 11:00
Time from start;;0.00;4.00;20.50;23.50;26.50;28.50;44.50;47.50;50.50;52.50;69.00;72.00;115.50;117.00;118.00
Control 1;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Control 2;8;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Control 3;13;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Control 4;44;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic low 1;14;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic low 2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic low 3;15;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic high 1;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic high 2;7;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic high 3;3;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2
Antibiotic low + gut homogenate 1;6;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2
Antibiotic low + gut homogenate 2;12;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2
Antibiotic low + gut homogenate 3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic high + gut homogenate 1;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2
Antibiotic high + gut homogenate 2;11;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Antibiotic high + gut homogenate 3;9;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1
;;;;;;;;;;;;;;;;
Room condition:;;;;;;;;;;;;;;;;
27 ¡C;;;;;;;;;;;;;;;;
65% humidity;;;;;;;;;;;;;;;;
light 12 h - dark 12 h;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
