Category ;Petridish number;Start ;Check 1;Check 2;Check 3;Check 4;Check 5;Check 6;Check 7;Check 8;Check 9;Check 10;Check 11;Check 12;Food change;Check 13;End;
;;13.05.25 18:00;14.05.25 09:00;14.05.25 12:00;14.05.25 15:00;14.05.25 18:00;15.05.25 09:00;15.05.25 12:00;15.05.25 15:00;15.05.25 18:00;16.05.25 09:00;16.05.25 12:00;16.05.25 15:00;16.05.25 18:00;16.05.25 18:00;19.05.25 09:00;19.05.25 12:00;
Time from start;;0.0;15;18;21;24;39;42;45;48;63;66;69;72;72;135;138;
ctrl + ctrl 1;40;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ctrl + ctrl 2;41;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;
ctrl + ctrl 3;42;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ctrl + ctrl 4;43;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ctrl + gut homogenate 1;36;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;
ctrl + gut homogenate 2;37;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ctrl + gut homogenate 3;38;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ctrl + gut homogenate 4;39;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ctrl + gut homogenate 5;35;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic high + ctrl 1;28;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic high + ctrl 2;29;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;
antibiotic high + ctrl 3;30;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic high + ctrl 4;31;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
antibiotic high + ctrl 5;18;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;
antibiotic high + gut homogenate 1;32;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic high + gut homogenate 2;45;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;
antibiotic high + gut homogenate 3;17;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;
antibiotic high + gut homogenate 4;19;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic high + gut homogenate 5;33;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + ctrl 1;24;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + ctrl 2;16;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;
antibiotic low + ctrl 3;25;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + ctrl 4;26;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + ctrl 5;27;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + gut homogenate 1;20;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + gut homogenate 2;21;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + gut homogenate 3;22;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + gut homogenate 4;23;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
antibiotic low + gut homogenate 5;34;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
