Category_base;Antibiotic;Reinoculation;Year;Petridish_number;time;status;Treatment
antibiotic high + ctrl;high;no;2024;3;44,5;1;high_no
antibiotic high + ctrl;high;no;2024;3;91,5;1;high_no
antibiotic high + ctrl;high;no;2024;3;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;3;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;7;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;7;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;7;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;10;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;10;94,0;0;high_no
antibiotic high + ctrl;high;no;2024;10;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;18;87,0;1;high_no
antibiotic high + ctrl;high;no;2025;18;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;18;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;28;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;28;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;28;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;29;63,0;1;high_no
antibiotic high + ctrl;high;no;2025;29;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;29;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;30;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;30;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;30;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;31;15,0;1;high_no
antibiotic high + ctrl;high;no;2025;31;94,0;0;high_no
antibiotic high + ctrl;high;no;2025;31;94,0;0;high_no
antibiotic high + gut homogenate;high;yes;2024;4;44,5;1;high_yes
antibiotic high + gut homogenate;high;yes;2024;4;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2024;4;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2024;9;94,0;1;high_yes
antibiotic high + gut homogenate;high;yes;2024;9;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2024;11;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2024;11;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2024;11;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;17;87,0;1;high_yes
antibiotic high + gut homogenate;high;yes;2025;17;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;17;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;19;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;19;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;19;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;32;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;32;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;32;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;33;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;33;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;33;94,0;0;high_yes
antibiotic high + gut homogenate;high;yes;2025;45;39,0;1;high_yes
antibiotic high + gut homogenate;high;yes;2025;45;87,0;1;high_yes
antibiotic high + gut homogenate;high;yes;2025;45;94,0;0;high_yes
antibiotic low + ctrl;low;no;2024;2;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;2;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;2;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;14;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;14;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;14;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;15;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;15;94,0;0;low_no
antibiotic low + ctrl;low;no;2024;15;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;16;87,0;1;low_no
antibiotic low + ctrl;low;no;2025;16;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;16;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;24;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;24;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;24;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;25;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;25;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;25;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;26;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;26;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;26;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;27;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;27;94,0;0;low_no
antibiotic low + ctrl;low;no;2025;27;94,0;0;low_no
antibiotic low + gut homogenate;low;yes;2024;1;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2024;1;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2024;1;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2024;6;91,5;1;low_yes
antibiotic low + gut homogenate;low;yes;2024;6;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2024;6;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2024;12;91,5;1;low_yes
antibiotic low + gut homogenate;low;yes;2024;12;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2024;12;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;20;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;20;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;20;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;21;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;21;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;21;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;22;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;22;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;22;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;23;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;23;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;23;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;34;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;34;94,0;0;low_yes
antibiotic low + gut homogenate;low;yes;2025;34;94,0;0;low_yes
ctrl + ctrl;zero;no;2024;5;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;5;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;5;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;8;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;8;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;8;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;13;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;13;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;13;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;44;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;44;94,0;0;zero_no
ctrl + ctrl;zero;no;2024;44;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;40;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;40;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;40;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;41;42,0;1;zero_no
ctrl + ctrl;zero;no;2025;41;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;41;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;42;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;42;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;42;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;43;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;43;94,0;0;zero_no
ctrl + ctrl;zero;no;2025;43;94,0;0;zero_no
ctrl + gut homogenate;zero;yes;2025;35;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;35;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;35;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;36;42,0;1;zero_yes
ctrl + gut homogenate;zero;yes;2025;36;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;36;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;37;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;37;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;37;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;38;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;38;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;38;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;39;94,0;0;zero_yes
ctrl + gut homogenate;zero;yes;2025;39;94,0;0;zero_yes
